Species,Model,kap,v,z,p_Am,p_M,E_G,s_M,L_b,L_m,L_j,L_i,L_p,l_i,n_HE,n_OE,n_NE,n_CX,n_HX,n_OX,n_NX,n_CV,n_HV,n_OV,n_NV,n_CE,n_CP,n_HP,n_OP,n_NP,eta_PA,eta_XA,eta_VG,k_J,kap_R,E_Hb,E_Hp,E_Hj,n_NN,n_CN,n_HN,n_ON,mu_E,T_A,T_ref,p_T,L_s,L_x
Mnemiopsis_leidyi,asj,0.3911,0.03153,0.5323,148.624801840961,109.2,78.56,1.70827437665499,0.0100831016511033,0.5323,0.186045348678343,0.90931445069345,0.312332960562187,1.70827437665499,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59779802128693e-06,0.002,0.475,0.0001685,37.03,5.419,1,0,3,0,550000,8000,293.15,0,0.108908352909117,NaN
Bolinopsis_mikado,abj,0.9891,0.036636,0.1939,18.024917338995,91.9466,267.9742,39.0598553406097,0.0329124154308025,0.1939,1.2855541856372,7.57370595054422,1.28559767493814,39.0598553406097,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.56138181153635e-06,0.002,0.475,0.0001383,9.854,9.853,1,0,3,0,550000,9702,293.15,0,NaN,NaN
Callianira_antarctica,abj,0.95,0.031041,0.6732,12.6615456,17.8676,264.583,3.97073883247544,0.0401385370104587,0.6732,0.159379647586181,2.67310138202247,0.497315705990971,3.97073883247544,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.58139427643123e-06,0.002,0.475,0.0009782,2.381,0.06483,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Pleurobrachia_pileus,abj,0.97564,0.027083,0.18064,13.5606272477553,73.2412,263.9681,8.03432759371225,0.00974268294621993,0.18064,0.0782759064316046,1.45132093652818,0.302162326046905,8.03432759371225,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.58507805238968e-06,0.002,0.475,6.682e-06,0.2672,0.00367,1,0,3,0,550000,9093,293.15,0,NaN,NaN
Pleurobrachia_bachei,abj,0.97966,0.097911,0.16942,2.46486160300512,14.2529,261.4134,11.8389299403212,0.0131068235231786,0.16942,0.155170765431065,2.00575151048922,0.555686786463205,11.8389299403212,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60056845533169e-06,0.002,0.475,1.242e-05,1.1718,0.022064,1,0,3,0,550000,9093,293.15,0,NaN,NaN
Beroe_gracilis,abj,0.7661,0.07853,0.1082,6.01236653178436,42.57,260,10.6146634852031,0.0140436649178915,0.1082,0.149068777202371,1.14850658909897,0.353468213368074,10.6146634852031,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60926939169617e-06,0.002,0.475,0.0002311,4.512,0.3103,1,0,3,0,550000,9369,293.15,0,NaN,NaN
Beroe_ovata,abj,0.67239,0.023971,1.2396,30.6457127559898,16.623,259.9845,2.07862434545252,0.0305909915162409,1.2396,0.0635871797171897,2.57666273862294,0.502967265096008,2.07862434545252,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60936533462958e-06,0.002,0.475,0.0038777,27.5751,0.035865,1,0,3,0,550000,18090,293.15,0,NaN,NaN
Symsagittifera_roscoffensis,abj,0.9,0.023075,0.033647,3.714595153,99.3591,1305.4226,8.2028527973235,0.0152102803116137,0.033647,0.124767690402195,0.276001388071544,0.178533402041956,8.2028527973235,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60258464132996e-06,0.002,0.475,0.0005684,1.315,0.5269,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Ferosagitta_hispida,abj,0.59702,0.014514,0.042253,44.535831172825,629.2756,1827.5668,2.82114276579295,0.0116690816932484,0.042253,0.0329201454023548,0.11920174528305,0.0335281980474007,2.82114276579295,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,7.39609959291868e-06,6.76214819923993e-05,1.6026064234079e-06,0.002,0.475,0.00261,1.185,0.07647,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Parasagitta_elegans,abj,0.959,0.022658,0.090427,21.4402888465068,227.3794,1830.0619,3.93685492787354,0.0222185904893252,0.090427,0.087471367458304,0.35599798056282,0.197663789287485,3.93685492787354,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,9.44822373393802e-05,0.000863837598531476,1.60042143540993e-06,0.002,0.475,0.001005,1.288,0.07702,1,0,3,0,550000,8000,293.15,0,NaN,NaN
